iter	Passed	Remaining
0	5	5611
1	10	5163
2	12	4056
3	17	4438
4	22	4570
5	27	4543
6	32	4556
7	37	4617
8	41	4578
9	45	4539
10	51	4589
11	55	4599
12	60	4557
13	64	4534
14	69	4539
15	73	4512
16	77	4504
17	82	4499
18	86	4486
19	91	4498
20	96	4500
21	101	4501
22	105	4489
23	110	4483
24	115	4491
25	119	4479
26	124	4472
27	128	4460
28	132	4452
29	134	4361
30	138	4344
31	143	4330
32	147	4321
33	151	4303
34	155	4292
35	159	4280
36	164	4278
37	168	4261
38	172	4248
39	176	4245
40	181	4234
41	185	4226
42	189	4223
43	194	4223
44	198	4211
45	202	4205
46	207	4213
47	212	4224
48	217	4218
49	221	4212
50	226	4216
51	231	4218
52	235	4213
53	240	4206
54	245	4214
55	249	4209
56	254	4209
57	259	4218
58	264	4217
59	270	4232
60	274	4229
61	279	4221
62	283	4217
63	288	4217
64	293	4223
65	297	4215
66	302	4210
67	306	4205
68	311	4197
69	315	4190
70	320	4196
71	325	4191
72	329	4182
73	333	4169
74	337	4163
75	341	4157
76	346	4151
77	350	4141
78	354	4136
79	359	4132
80	363	4126
81	365	4089
82	366	4050
83	370	4042
84	374	4036
85	378	4025
86	382	4015
87	387	4013
88	391	4007
89	395	3998
90	399	3994
91	404	3992
92	407	3977
93	412	3972
94	416	3966
95	420	3960
96	424	3954
97	426	3924
98	429	3906
99	433	3898
100	437	3897
101	442	3896
102	447	3898
103	451	3893
104	456	3888
105	460	3886
106	464	3879
107	470	3882
108	474	3877
109	478	3870
110	482	3864
111	487	3865
112	491	3859
113	495	3852
114	500	3848
115	505	3849
116	509	3842
117	513	3835
118	517	3832
119	519	3809
120	523	3801
121	528	3800
122	530	3779
123	534	3778
124	539	3778
125	544	3774
126	548	3773
127	553	3767
128	557	3763
129	560	3749
130	564	3745
131	568	3739
132	572	3735
133	577	3729
134	581	3725
135	585	3720
136	589	3715
137	594	3710
138	598	3709
139	602	3702
140	606	3697
141	611	3691
142	615	3687
143	619	3681
144	620	3660
145	624	3655
146	629	3651
147	633	3646
148	634	3625
149	638	3620
150	643	3620
151	648	3616
152	652	3611
153	656	3604
154	660	3602
155	665	3598
156	669	3592
157	673	3587
158	677	3583
159	681	3579
160	685	3574
161	689	3568
162	694	3565
163	698	3561
164	700	3544
165	704	3541
166	709	3538
167	713	3535
168	719	3535
169	724	3536
170	729	3536
171	734	3533
172	737	3527
173	742	3524
174	746	3519
175	750	3514
176	754	3509
177	759	3507
178	763	3504
179	768	3498
180	772	3494
181	776	3491
182	781	3488
183	785	3483
184	790	3480
185	794	3477
186	798	3472
187	803	3468
188	807	3465
189	811	3459
190	815	3454
191	820	3453
192	824	3448
193	829	3444
194	833	3442
195	838	3441
196	843	3436
197	847	3431
198	851	3427
199	856	3425
200	860	3420
201	864	3417
202	869	3414
203	871	3400
204	875	3396
205	880	3394
206	885	3394
207	890	3389
208	894	3385
209	898	3381
210	903	3380
211	908	3377
212	912	3373
213	917	3369
214	922	3366
215	926	3362
216	930	3359
217	935	3356
218	940	3352
219	943	3346
220	947	3341
221	952	3337
222	956	3333
223	960	3327
224	965	3325
225	970	3322
226	974	3318
227	978	3314
228	983	3311
229	988	3308
230	992	3303
231	997	3303
232	1002	3299
233	1006	3294
234	1007	3281
235	1011	3275
236	1016	3272
237	1020	3266
238	1023	3258
239	1027	3253
240	1031	3249
241	1036	3246
242	1040	3241
243	1045	3238
244	1049	3234
245	1053	3229
246	1058	3226
247	1062	3223
248	1067	3218
249	1071	3213
250	1075	3208
251	1079	3205
252	1084	3201
253	1088	3196
254	1092	3192
255	1097	3188
256	1101	3185
257	1105	3180
258	1110	3177
259	1114	3171
260	1118	3166
261	1123	3163
262	1127	3160
263	1131	3155
264	1136	3151
265	1140	3147
266	1145	3144
267	1149	3139
268	1153	3134
269	1158	3130
270	1162	3126
271	1166	3123
272	1170	3118
273	1175	3113
274	1179	3109
275	1183	3104
276	1187	3099
277	1191	3094
278	1196	3091
279	1201	3088
280	1205	3083
281	1209	3079
282	1213	3074
283	1217	3070
284	1222	3065
285	1226	3061
286	1230	3056
287	1234	3051
288	1239	3048
289	1243	3044
290	1247	3039
291	1251	3034
292	1256	3031
293	1260	3026
294	1264	3021
295	1269	3018
296	1274	3016
297	1278	3012
298	1283	3008
299	1287	3003
300	1291	2999
301	1295	2995
302	1299	2989
303	1304	2986
304	1309	2984
305	1313	2980
306	1317	2974
307	1323	2973
308	1327	2969
309	1332	2965
310	1336	2961
311	1341	2958
312	1345	2953
313	1349	2949
314	1354	2945
315	1358	2941
316	1362	2935
317	1366	2931
318	1371	2927
319	1375	2922
320	1379	2918
321	1384	2914
322	1388	2910
323	1392	2906
324	1397	2901
325	1401	2897
326	1405	2893
327	1410	2888
328	1413	2883
329	1418	2879
330	1422	2874
